donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	-0.007232534233480692	-0.037895829584500385	True	
105	1236	-0.007587606552988291	-0.04989111701015387	True	
11	1391	0.13145549595355988	0.14093094470159417	True	
119	1856	-0.04855702072381973	-0.10170076178839899	True	
136	788	0.010459324344992638	-0.01265659070814871	True	
146	3355	0.02306121401488781	0.03616233540707031	True	
150	2578	-0.05808711051940918	-0.043991218994902534	True	
151	1147	-0.06225375458598137	-0.06141724124733508	True	
156	441	-0.029503662139177322	-0.10197512075301639	True	
181	1170	0.058015864342451096	0.03916741826590569	True	
182	969	-0.32271695137023926	-0.44840115261255076	True	
183	1225	-0.028696035966277122	0.01306204198972024	True	
184	108	-0.20401230454444885	-0.3489006657784157	True	
188	584	0.10270819813013077	0.09338362138291999	True	
190	128	-0.06882783025503159	-0.016168780893066104	True	
194	1026	0.04568934068083763	-0.042062997356828766	True	
20	64	0.19803772866725922	0.15953854009587937	True	
203	13	-0.4753173589706421	-0.577717190274766	True	
283	1243	-0.05741654336452484	-0.14131296077683017	True	
35	1155	-0.10198283195495605	-0.18373328655025972	True	
39	3			False	n_cells=3 < 10
60	87	0.1739938110113144	0.1538331246988601	True	
66	117	-0.054266560822725296	-0.17966528732296397	True	
70	439	-0.057488877326250076	-0.05375482454558501	True	
71	269	-0.03579840436577797	0.005083981347453361	True	
74	771	0.024067647755146027	0.02483407433087856	True	
75	1976	0.0479755736887455	0.11635837957852477	True	
79	110	0.3003789186477661	0.45405745401299175	True	
82	1634	0.02770182117819786	-0.004350328745735763	True	
